¥éËPine_spp,Location,Loc_abrev,Lat,Long,Fiss_N,Fiss_S,Nit_1,Nit_2
Pinus monticola,Coer Dalene,CA,47.52735,-116.01563,9,0,0,3
Pinus monticola,Crooked Fork,CF,46.59371,-114.61026,1,0,0,5
Pinus monticola,Mount Hood,MH,45.2609,-121.76051,7,0,0,3
Pinus monticola,Whitepine Creek,WP,47.77254,-120.90843,2,0,0,5
Pinus monticola,Gasquet,G,41.85405,-123.91268,1,8,1,0
Pinus monticola,John Day,JD,44.35443,-118.80684,0,0,1,0
Pinus monticola,McDoel,M,41.75463,-122.12479,0,0,8,3
Pinus monticola,El Dorado,ED,38.573535,-120.256927,0,0,0,0
